"Store_name","Address","STATEFP","COUNTYFP","TRACTCE","GEOID","GEOIDFQ","NAME.x","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","NAME.y","Population","Education_Level","Median_Income","moe_Population","moe_Education_Level","MOE_Income","Area_km2","Population_Density","geometry"
"Heartworks Gifts","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3160778, 30.6385623)
"Chrome - A Salon Experience","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3160483, 30.6384931)
"Leslie's Pool Supplies","895 William D. Fitch Parkway, College Station, , 77845","48","041","002025","48041002025","1400000US48041002025","20.25","Census Tract 20.25","G5020","S",4314276,0,30.5596186,-96.2750991,"Census Tract 20.25; Brazos County; Texas",5450,1129,100884,736,296,16837,4.31866565943675,1261.9638633269,c(-96.2645298, 30.5553019)
"Aaron Automotive","4160 South Highway 6, College Station, TX, 77845","48","041","002025","48041002025","1400000US48041002025","20.25","Census Tract 20.25","G5020","S",4314276,0,30.5596186,-96.2750991,"Census Tract 20.25; Brazos County; Texas",5450,1129,100884,736,296,16837,4.31866565943675,1261.9638633269,c(-96.2731148, 30.5706451)
"Cavalier Cigar Shop and Lounge","505 University Drive East, College Station, TX, 77840","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3318055, 30.6317581)
"Kolache Rolf's","3525 Longmire Drive, College Station, TX, 77845","48","041","001804","48041001804","1400000US48041001804","18.04","Census Tract 18.04","G5020","S",1461833,0,30.5778531,-96.2928669,"Census Tract 18.04; Brazos County; Texas",1786,294,66818,427,161,33695,1.46331286457776,1220.51821126807,c(-96.2848522, 30.5819184)
"Kolache Rolf's","800 South Earl Rudder Freeway, College Station, TX, 77840","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3125081, 30.6399769)
"Shop-N-Go","1500 Holleman Drive, College Station, TX,77840","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.3194942, 30.6083703)
"Maroon & white","1506 Holleman Drive, College Station, TX, 77840","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.319272, 30.6085583)
"Ring Guards","","48","041","002100","48041002100","1400000US48041002100","21","Census Tract 21","G5020","S",4120393,0,30.6193213,-96.338152,"Census Tract 21; Brazos County; Texas",12337,315,24678,435,142,4406,4.12453234419099,2991.12698616013,c(-96.3390932, 30.6252244)
"Brazos Running Co","1037 University Drive, College Station, TX, 77840","48","041","002100","48041002100","1400000US48041002100","21","Census Tract 21","G5020","S",4120393,0,30.6193213,-96.338152,"Census Tract 21; Brazos County; Texas",12337,315,24678,435,142,4406,4.12453234419099,2991.12698616013,c(-96.3400625, 30.6244433)
"Market","","48","041","002100","48041002100","1400000US48041002100","21","Census Tract 21","G5020","S",4120393,0,30.6193213,-96.338152,"Census Tract 21; Brazos County; Texas",12337,315,24678,435,142,4406,4.12453234419099,2991.12698616013,c(-96.3380279, 30.6228206)
"Costco Tire Center","","48","041","002009","48041002009","1400000US48041002009","20.09","Census Tract 20.09","G5020","S",17377998,161800,30.5660535,-96.2419397,"Census Tract 20.09; Brazos County; Texas",5644,1246,169097,410,244,24789,17.5576136917963,321.455984798043,c(-96.2636103, 30.5669416)
"Costco Hearing Aid Center","","48","041","002009","48041002009","1400000US48041002009","20.09","Census Tract 20.09","G5020","S",17377998,161800,30.5660535,-96.2419397,"Census Tract 20.09; Brazos County; Texas",5644,1246,169097,410,244,24789,17.5576136917963,321.455984798043,c(-96.263771, 30.5674069)
"Costco Optical","","48","041","002009","48041002009","1400000US48041002009","20.09","Census Tract 20.09","G5020","S",17377998,161800,30.5660535,-96.2419397,"Census Tract 20.09; Brazos County; Texas",5644,1246,169097,410,244,24789,17.5576136917963,321.455984798043,c(-96.2636976, 30.5672967)
"Kung Fu Tea","","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3302631, 30.6260438)
"Supercuts","1519 Texas Avenue South, College Station, TX, 77840","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3204256, 30.6175571)
"Hobby Lobby","1903 Texas Avenue South, College Station, TX, 77840","48","041","001703","48041001703","1400000US48041001703","17.03","Census Tract 17.03","G5020","S",1223386,0,30.6147055,-96.310871,"Census Tract 17.03; Brazos County; Texas",4184,580,24778,718,237,5990,1.22461693189121,3416.57859779754,c(-96.3162839, 30.6146988)
"Great Clips","1901 Texas Avenue South, College Station, TX, 77840","48","041","001703","48041001703","1400000US48041001703","17.03","Census Tract 17.03","G5020","S",1223386,0,30.6147055,-96.310871,"Census Tract 17.03; Brazos County; Texas",4184,580,24778,718,237,5990,1.22461693189121,3416.57859779754,c(-96.3166617, 30.6143512)
"Tune Up: The Manly Salon","404 Jane Street, College Station, TX, 77840","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3349353, 30.6295965)
"Cutler2 Salon & Spa","2551 Texas Avenue South, College Station, TX, 77840","48","041","001702","48041001702","1400000US48041001702","17.02","Census Tract 17.02","G5020","S",2890905,0,30.6062731,-96.2970026,"Census Tract 17.02; Brazos County; Texas",3098,300,47788,511,136,13400,2.89381847052665,1070.55782232124,c(-96.306561, 30.6060376)
"Q Nails","2551 Texas Avenue South, College Station, TX, 77840","48","041","001702","48041001702","1400000US48041001702","17.02","Census Tract 17.02","G5020","S",2890905,0,30.6062731,-96.2970026,"Census Tract 17.02; Brazos County; Texas",3098,300,47788,511,136,13400,2.89381847052665,1070.55782232124,c(-96.3066653, 30.6061274)
"Harvey Washbangers","1802 Texas Avenue South, College Station, TX, 77840","48","041","001607","48041001607","1400000US48041001607","16.07","Census Tract 16.07","G5020","S",557041,0,30.6138018,-96.3221148,"Census Tract 16.07; Brazos County; Texas",1689,129,33036,600,91,12171,0.557602934435817,3029.03714398299,c(-96.3190135, 30.6141742)
"FedEx Office","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.327794, 30.6346978)
"Uptown Cheapskate","2410 Texas Avenue South, College Station, TX, 77840","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.3117355, 30.6071562)
