reference,sex_binary,aims_ancestry,aims_heterozygosity,tarsus.length,tail.length,wing.cord,kipps,distal,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,t5_spring40
BI01H10,0,0.5159461375,0.5712260808,27.1,69,94,29.3,57,16,1.077490775,244,265,174.4921726,0
BI01H11,1,0.1484780995,0.2657757981,27.5,70,96,29.1,58.3,16,1.149090909,244,NA,NA,0
BI01H12,1,0.3253571429,0.325,29.5,72,101,29.8,60.4,16,1.206779661,244,254,105.0084614,1
BI01H13,1,0.3675832127,0.5701881331,29.1,70,99,31.1,58.4,16,1.151202749,244,264,137.9838,0
BI01H14,1,0.2005347594,0.3231474408,28,66,96,31.2,58.5,16,1.160714286,244,261,137.9838,0
BI02H01,1,0.1384136858,0.2737169518,27.9,70,97,29.1,59.8,15,1.322580645,245,256,95.9694439,1
BI02H02,1,0.2878895184,0.459631728,26.7,64,95,29.3,60,14,1.071161049,245,255,161.5504186,0
BI02H03,1,0.2171003717,0.4237918216,28.6,70,97,29.1,58.6,17,1.108391608,245,251,137.9838,0
BI02H04,0,0.2971326165,0.4594982079,27.4,66,93,30,57,14,1.087591241,245,265,137.9838,0
BI02H05,1,0.364280652,0.6321757619,29.8,71,98,28.5,61.5,15,1.053691275,245,264,76.75789545,0
BI02H06,0,0.5450674237,0.8105039035,27.7,65,94,29,59.4,13,1.173285199,245,266,179.856459,0
BI02H07,1,0.106092437,0.112745098,29.2,71,102,35,62.3,18,0.9897260274,245,NA,NA,0
BI02H08,1,0.4202586207,0.6623563218,28.9,70,97,30.9,59,13,1.079584775,245,256,105.0084614,0
BI02H09,0,0.5854253835,0.7133891213,28.2,70,96,30,59.7,15,1.031914894,245,265,137.9838,0
BI02H10,0,0.5207746479,0.5161971831,27.8,66,93,29.9,58.4,15,1.169064748,245,272,137.9838,1
BI02H11,1,0.2007762879,0.3126323218,29,70,96,29.5,58.7,16,1.124137931,245,270,95.9694439,0
BI02H12,1,0.2232207045,0.3213515457,25.1,71,96,27.4,62.4,14,1.302788845,245,255,137.9838,1
BI03H01,1,0.2526652452,0.3987206823,26.6,70,96,31.7,59.4,16,1.135338346,246,272,137.9838,0
BI03H02,0,0.225,0.3471830986,27,68,94,30.9,60.4,14,1.085185185,246,261,120.5847585,0
BI03H03,1,0.3557353976,0.5383532723,29,70,94,31.6,57.8,13,1.106896552,246,261,137.9838,0
BI03H04,1,0.2960954447,0.4201012292,28.5,72,98,29,59.9,17,1.098245614,246,264,95.9694439,0
BI03H05,1,0.09087743733,0.1288300836,28.5,68,93,30.2,57.7,15,1.10877193,246,NA,NA,0
BI03H06,1,0.3877180233,0.5574127907,30.1,71,96,27.5,61.3,17,1.186046512,246,273,124.6919836,0
BI03H07,1,0.1640855457,0.2735988201,29.5,70,99,32,61.6,16,1.094915254,246,NA,NA,0
BI03H08,1,0.2395906845,0.3959068454,26.9,67,96,30.9,61,15,1.159851301,246,280,179.856459,0
BI04H01,1,0.2482369535,0.3794076164,29.4,70,102,33.4,59.5,20,1.142857143,247,254,137.9838,1
BI04H02,0,0.1010638298,0.1496453901,26.6,66,92,28.8,58.1,14,1.101503759,247,NA,NA,0
BI04H03,1,0.4332634521,0.4696016771,28.8,68,96,31.2,60.7,14,1.180555556,247,262,120.5847585,0
