reference,aims_ancestry,aims_heterozygosity,tarsus.length,weight,tail.length,wing.cord,kipps,distal,carpal,p7,p8,p9,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,range_norm_tarsus.length,range_norm_weight,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_carpal,range_norm_p7,range_norm_p8,range_norm_p9,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
AI02H06,0.3629893238,0.4512455516,29.9,30,70,97,28.2,NA,NA,NA,NA,69,NA,1.003344482,244,NA,NA,0.8225806452,0.5,0.5294117647,0.5294117647,0.3818181818,NA,NA,NA,NA,0.3888888889,NA,0.6956521739,NA,NA,0.3342194393,0
AI02H07,0.1470588235,0.2080344333,26.9,30.2,70,96,30.1,NA,NA,NA,NA,73,NA,1.12267658,244,NA,NA,0.3387096774,0.5114942529,0.5294117647,0.4705882353,0.5545454545,NA,NA,NA,NA,0.6111111111,NA,0.6956521739,NA,NA,0.5371597431,0
AI02H08,0.9262295082,0.1284153005,NA,29,73,93,26.9,NA,NA,NA,NA,70,NA,NA,244,262,188.3528213,NA,0.4425287356,0.7058823529,0.2941176471,0.2636363636,NA,NA,NA,NA,0.4444444444,NA,0.6956521739,0.55,0.8292675239,NA,1
AI02H10,0.09671532847,0.1379562044,26.7,NA,69,99,32.9,NA,NA,NA,NA,66,NA,NA,244,NA,NA,0.3064516129,NA,0.4705882353,0.6470588235,0.8090909091,NA,NA,NA,NA,0.2222222222,NA,0.6956521739,NA,NA,NA,0
BH28H01,0.4549950544,0.8941641939,27.6,29.3,NA,93,28.8,58,64,76,75,71,15,1.061594203,240,NA,NA,0.4516129032,0.4597701149,NA,0.2941176471,0.4363636364,0.4014084507,0.3636363636,0.4285714286,0.3846153846,0.5,0.375,0.5217391304,NA,NA,0.4332809349,0
BH28H02,0.4228087649,0.8316733068,27.3,29.1,67,96,29.9,61.6,64,76,76,70,14,1.065934066,240,NA,NA,0.4032258065,0.4482758621,0.3529411765,0.4705882353,0.5363636364,0.6549295775,0.3636363636,0.4285714286,0.4615384615,0.4444444444,0.25,0.5217391304,NA,NA,0.4406614565,0
BH28H03,0.7403508772,0.4477192982,28.3,30.8,65,90,27.8,55,62,72,70,65,14,1.088339223,240,262,174.4921726,0.564516129,0.5459770115,0.2352941176,0.1176470588,0.3454545455,0.1901408451,0.1818181818,0.1428571429,0,0.1666666667,0.25,0.5217391304,0.55,0.7317035141,0.4787644428,0
BH28H04,0.8560325685,0.2509252406,29.2,38.7,71,101,32.9,64.1,65,78,78,75,14,1.325342466,240,258,95.9694439,0.7096774194,1,0.5882352941,0.7647058824,0.8090909091,0.8309859155,0.4545454545,0.5714285714,0.6153846154,0.7222222222,0.25,0.5217391304,0.45,0.1789882383,0.8818203753,0
BH28H05,0.462962963,0.9198790627,26.8,28.5,68,96,29.1,62,66,77,78,74,15,1.063432836,240,255,149.4931186,0.3225806452,0.4137931034,0.4117647059,0.4705882353,0.4636363636,0.6830985915,0.5454545455,0.5,0.6153846154,0.6666666667,0.375,0.5217391304,0.375,0.5557371506,0.4364077778,1
BH28H06,0.1669034091,0.3025568182,27.7,27.5,68,91,27.9,58.9,60,73,72,68,14,0.9927797834,240,256,84.1399332,0.4677419355,0.3563218391,0.4117647059,0.1764705882,0.3545454545,0.4647887324,0,0.2142857143,0.1538461538,0.3333333333,0.25,0.5217391304,0.4,0.09572124827,0.3162527472,0
