reference,sex_binary,range_norm_tarsus.length,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
EH28H33,1,0.3387096774,0.4117647059,0.1764705882,0.4272727273,0.3309859155,0.375,0.4782608696,0.425,0.3012355652,0.5371597431,1
EH28H34,0,0.2419354839,0.2941176471,0.1764705882,0.4090909091,0.3169014085,0.125,0.4782608696,0.475,0.09572124827,0.46432382,1
EH29H01,0,0.564516129,0.4117647059,0.4705882353,0.7818181818,0.4788732394,0.5,0.5217391304,0.425,0.7694623018,0.3886247959,0
EH29H02,0,0.3064516129,0.2352941176,0.2941176471,0.6363636364,0.4084507042,0.5,0.5217391304,0.425,0.3092046257,0.640633192,1
EH29H03,1,0.564516129,0.4705882353,0.1176470588,0.1272727273,0.3309859155,0.5,0.5217391304,0.425,0.4247813711,0.4186713448,0
EH29H04,0,0.3548387097,0.3529411765,0.2352941176,0.4545454545,0.3169014085,0.375,0.5217391304,NA,NA,0.4356086958,1
EH29H05,0,0.09677419355,0.1764705882,0.1176470588,0.3181818182,0.1056338028,0.375,0.5217391304,0.25,0.8658867312,0.5829573575,0
EH29H06,1,0.5322580645,0.3529411765,0.4705882353,0.5818181818,0.3802816901,0.5,0.5217391304,NA,NA,0.4132608275,1
EH29H07,0,0.6612903226,0.4705882353,0.4705882353,0.6,0.6549295775,0.25,0.5217391304,0.275,0.4247813711,0.6345282478,1
EH29H08,0,0.5967741935,0.5882352941,0.2941176471,0.4090909091,0.3661971831,0.5,0.5217391304,0.3,0.8366263343,NA,0
EH29H09,0,0.1774193548,0.4705882353,0.1764705882,0.5363636364,0.4647887324,0.375,0.5217391304,0.425,0.09572124827,0.4007594253,1
EH29H10,0,0.3870967742,0.4117647059,0.2352941176,0.3636363636,0.4647887324,0.375,0.5217391304,NA,NA,0.4098120315,0
EH29H11,1,0.4677419355,0.4705882353,0.5294117647,0.5909090909,0.5985915493,0.25,0.5217391304,0.55,0.5557371506,0.4390422542,1
EH29H12,1,0.6129032258,0.6470588235,0.4705882353,0.4,0.676056338,0.375,0.5217391304,0.375,0.3012355652,0.4474571994,0
EH29H13,1,0.5806451613,0.5882352941,0.4705882353,0.5090909091,0.5422535211,0.375,0.5217391304,0.275,0.7694623018,0.400389501,0
EH29H14,0,0.4193548387,0.4117647059,0.2941176471,0.5272727273,0.1408450704,0.625,0.5217391304,NA,NA,0.3347383938,0
EH29H15,1,0.6290322581,0.4705882353,0.6470588235,0.7272727273,0.4225352113,0.875,0.5217391304,NA,NA,0.6959161914,1
EH29H16,1,0.4677419355,0.4117647059,0.4117647059,0.6,0.323943662,0.75,0.5217391304,0.55,0,0.4451817296,0
EH29H17,0,0.435483871,0.1176470588,0.05882352941,0.3363636364,0.1901408451,0.25,0.5217391304,0.55,0.8658867312,0.1862967981,0
EH29H18,0,0.8870967742,0.4705882353,0.4117647059,0.6818181818,0.3943661972,0.5,0.5217391304,0.525,0.8366263343,0.4014962218,0
EH29H19,1,0.4193548387,0.5294117647,0.5294117647,0.7181818182,0.661971831,0.375,0.5217391304,NA,NA,0.483699095,0
EH29H20,1,0.2903225806,0.4705882353,0.4117647059,0.6272727273,0.4929577465,0.375,0.5217391304,0.375,0.8366263343,0.4627923299,1
EH29H22,1,0.6129032258,0.7058823529,0.6470588235,0.3454545455,0.5,0.5,0.5217391304,0.825,0.4747239672,0.810179979,1
EH29H23,1,0.6290322581,0.5294117647,0.5882352941,0.5454545455,0.4225352113,0.625,0.5217391304,0.275,0.8658867312,0.4825961629,1
EH29H24,1,0.4516129032,0.5882352941,0.5294117647,0.6363636364,0.8169014085,0.125,0.5217391304,0.425,0.4747239672,0.4394426548,0
EH29H25,0,0.2580645161,0.2352941176,0.1176470588,NA,0.323943662,0.25,0.5217391304,0.425,0.3811471954,0,1
EH29H26,1,0.4677419355,0.4705882353,0.4705882353,0.6363636364,0.514084507,0.5,0.5217391304,0.3,0.4747239672,0.5004370077,0
